Product/Plan,Description,Key Features,Official Link
Mutual Funds,"Investment in a diversified portfolio of assets.","Equity, Debt, and Gold options. Tax-efficient returns.",https://www.bankofbaroda.in/mutual-fund-investment
Alternate Investment Products,"Professionally managed investment strategies.","Portfolio management services, structured products.",https://www.bankofbaroda.in/alternate-investment
Baroda 3 in 1 Demat & Trading Account,"Integrated bank, Demat, and trading account.","Seamless and safe trading experience with a paperless account opening process.",https://www.bankofbaroda.in/baroda-3-in-1-account
Demat Account,"Holds securities in electronic form.","Facilitates easy storage and transactions.",https://www.bankofbaroda.in/demat-account
Atal Pension Yojana,"Retirement scheme providing a steady income post-60.","PRAN issued, aims to provide pension after age 60.",https://www.bankofbaroda.in/atal-pension-yojana
E-Kisan Vikas Patra Scheme,"Long-term savings instrument with assured returns.","Low-risk with a 7.5% interest rate.",https://www.bankofbaroda.in/e-kisan-vikas-patra
Floating Rate Savings Bonds,"Government bonds with variable interest rates.","Interest rate reset half-yearly, no maximum investment limit.",https://www.bankofbaroda.in/floating-rate-savings-bonds
Gold Monetization Scheme,"Mobilizes gold from households for productive use.","Interest rate based on deposit type, reduces reliance on gold imports.",https://www.bankofbaroda.in/gold-monetization-scheme
Senior Citizen Savings Scheme,"Savings scheme designed for seniors with high returns.","Allows multiple accounts with a combined maximum limit of Rs. 30 lakhs.",https://www.bankofbaroda.in/senior-citizen-savings-scheme
Sovereign Gold Bonds,"Government security denominated in gold grams.","2.5% interest paid half-yearly, substitute for physical gold.",https://www.bankofbaroda.in/sovereign-gold-bonds
Public Provident Fund (PPF),"Low-risk, long-term savings instrument with guaranteed returns.","7.1% interest rate, tax rebate under Section 80C.",https://www.bankofbaroda.in/public-provident-fund
Sukanya Samriddhi Yojana,"Savings scheme for the education and marriage of a girl child.","8.2% interest rate, minimum annual deposit of Rs. 250 up to Rs. 1,50,000.",https://www.bankofbaroda.in/sukanya-samriddhi-yojana
National Pension Scheme (NPS),"Voluntary retirement savings scheme with systematic contributions.","Unique PRAN, flexible contribution options.",https://www.bankofbaroda.in/national-pension-scheme
Mahila Samman Savings Certificate (MSSC) 2023,"Savings scheme exclusively for women and girls.","7.5% interest rate, valid for two years up to March 31, 2025.",https://www.bankofbaroda.in/mahila-samman-savings-certificate
Arogya Sanjeevani Policy,"Standard health insurance with coverage up to 5 Lakhs.","Individual and floater options available.",https://www.bankofbaroda.in/arogya-sanjeevani-policy
National Mediclaim Plus Policy,"High sum insured policy covering in-patient treatment and day-care procedures.","Cashless/Reimbursement basis with many additional benefits.",https://www.bankofbaroda.in/national-mediclaim-plus-policy
Burglary Insurance,"Covers movable property like stock, machinery against burglary.","Coverage for items that are reasonably protected.",https://www.bankofbaroda.in/burglary-insurance
House Holders Insurance Policy,"Comprehensive policy covering various home-related contingencies.","Bundled policy with ten sections, available for homeowners, tenants, housing societies, etc.",https://www.bankofbaroda.in/house-holders-insurance-policy
Personal Accident Insurance,"Provides coverage for death, disablement, and weekly benefits.","Worldwide cover available 24X7.",https://www.bankofbaroda.in/personal-accident-insurance
National Parivar Mediclaim Plus Policy,"Floater policy covering all family members for in-patient treatment and day-care procedures.","Unique features addressing health concerns with reasonable and customary expenses covered.",https://www.bankofbaroda.in/national-parivar-mediclaim-plus-policy
Shopkeepers Insurance,"Omnibus policy designed for small shopkeepers.","Tailored to cover requirements of small shopkeepers.",https://www.bankofbaroda.in/shopkeepers-insurance
Two Wheeler Insurance,"Insurance for two-wheelers covering accidental damage, theft, and natural calamities.","Comprehensive and liability-only options available.",https://www.bankofbaroda.in/two-wheeler-insurance
Chola MS Group Health Insurance,"Affordable group health plan covering up to 7 family members.","In-patient hospitalization covered up to Rs. 3,00,000.",https://www.bankofbaroda.in/chola-ms-group-health-insurance
Tata AIG Medicare,"Health insurance with cumulative bonus and restoration benefits.","50% cumulative bonus, no medicals required.",https://www.bankofbaroda.in/tata-aig-medicare
National Mediclaim Policy,"Covers in-patient treatment expenses and day-care procedures.","Minimum 24-hour hospitalization and coverage for 140+ procedures.",https://www.bankofbaroda.in/national-mediclaim-policy
National Super Top-Up Policy,"Covers commonly excluded diseases with a one-year waiting period for pre-existing conditions.","Medical expenses reimbursed without sub-limits.",https://www.bankofbaroda.in/national-super-top-up-policy
Auto Secure Private Car Package Policy,"Insurance for cars against accidents, theft, and natural calamities.","Coverage up to Rs. 15,00,000.",https://www.bankofbaroda.in/auto-secure-private-car-package-policy
Auto Secure Two-Wheeler Package Policy,"Insurance for two-wheelers against accidental damage, theft, and third-party property.","Liability only and comprehensive package options available.",https://www.bankofbaroda.in/auto-secure-two-wheeler-package-policy
Travel Guard by TATA AIG,"Covers trip curtailment, hijacking, flight delay, and loss of checked-in baggage.","Provides coverage for various travel-related concerns.",https://www.bankofbaroda.in/travel-guard-by-tata-aig
